               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.028298,            0.023167,            0.011688,             0.68705,               0.701,             0.73636,             0.50133,            0.037723,            0.015752,            0.031962,           0.0077907,           0.0077907,           0.0077907
                 101,            0.031908,            0.024937,           0.0089303,             0.71357,             0.74571,             0.78288,             0.56486,            0.035912,            0.015381,            0.031178,             0.00775,             0.00775,             0.00775
                 102,            0.035006,            0.024662,           0.0093269,             0.75399,             0.75759,             0.79082,             0.53732,            0.035054,            0.015098,             0.02171,           0.0077091,           0.0077091,           0.0077091
                 103,            0.035081,            0.024761,            0.012535,             0.70472,             0.77126,             0.78621,             0.53166,            0.034398,            0.014942,            0.022718,           0.0076679,           0.0076679,           0.0076679
                 104,            0.030325,            0.025112,           0.0086269,             0.64339,             0.73507,             0.74234,             0.53601,             0.03351,            0.014849,            0.033132,           0.0076265,           0.0076265,           0.0076265
                 105,            0.033339,            0.030097,           0.0082652,             0.79233,             0.71809,             0.79237,             0.56708,            0.033447,            0.015075,             0.02353,           0.0075848,           0.0075848,           0.0075848
                 106,            0.030478,            0.025576,           0.0077975,             0.81327,              0.7126,             0.79764,             0.57241,             0.03428,            0.015157,            0.025042,            0.007543,            0.007543,            0.007543
                 107,            0.030921,            0.022824,           0.0082525,             0.75586,             0.78358,             0.81188,             0.57684,            0.034365,            0.015297,            0.025536,           0.0075009,           0.0075009,           0.0075009
                 108,            0.030225,            0.023962,           0.0075396,             0.78217,             0.73351,             0.76173,             0.57047,            0.033346,            0.014943,            0.032001,           0.0074585,           0.0074585,           0.0074585
                 109,            0.028849,            0.023122,           0.0089504,             0.72456,             0.69716,             0.74865,             0.56069,            0.034653,            0.015982,            0.035394,            0.007416,            0.007416,            0.007416
                 110,            0.029381,            0.023297,           0.0098062,             0.77226,             0.72776,             0.76498,             0.57595,            0.035815,            0.015643,            0.035487,           0.0073733,           0.0073733,           0.0073733
                 111,            0.032375,            0.026589,           0.0097878,             0.77248,             0.77802,              0.8085,             0.59192,            0.033845,            0.014966,            0.031282,           0.0073303,           0.0073303,           0.0073303
                 112,            0.027733,            0.022293,           0.0095803,             0.85484,             0.70139,              0.8151,             0.61614,            0.034669,            0.014847,            0.036063,           0.0072872,           0.0072872,           0.0072872
                 113,            0.029916,            0.023849,           0.0096415,             0.78345,             0.73913,             0.78523,             0.58908,            0.032687,            0.014557,            0.034607,           0.0072438,           0.0072438,           0.0072438
                 114,            0.027847,            0.023513,           0.0075184,             0.76605,             0.77282,             0.80621,             0.57204,            0.033147,             0.01427,             0.03492,           0.0072003,           0.0072003,           0.0072003
                 115,             0.02926,            0.026535,            0.010492,             0.79248,             0.78523,             0.81743,             0.60218,            0.032964,            0.014887,            0.032067,           0.0071566,           0.0071566,           0.0071566
                 116,            0.026421,            0.023695,           0.0078157,             0.82066,              0.7648,             0.80452,               0.589,            0.034239,             0.01611,            0.031021,           0.0071127,           0.0071127,           0.0071127
                 117,            0.030173,             0.02585,           0.0065506,             0.73258,             0.74155,             0.80514,             0.59073,            0.034155,            0.016139,             0.02649,           0.0070686,           0.0070686,           0.0070686
                 118,            0.027639,            0.023681,           0.0092304,             0.76926,             0.74669,             0.81919,             0.61664,            0.034811,            0.015811,            0.022683,           0.0070243,           0.0070243,           0.0070243
                 119,            0.030881,             0.02338,           0.0063631,             0.80892,             0.72057,             0.81218,             0.59875,            0.035184,            0.016347,            0.024137,           0.0069799,           0.0069799,           0.0069799
                 120,            0.028472,            0.032167,           0.0090365,             0.83427,             0.70372,             0.76981,              0.5299,            0.034729,            0.016324,            0.031043,           0.0069353,           0.0069353,           0.0069353
                 121,            0.029357,             0.02719,           0.0073963,             0.83008,             0.67551,              0.7706,             0.54482,            0.032961,            0.016049,            0.034203,           0.0068906,           0.0068906,           0.0068906
                 122,            0.032104,            0.028762,           0.0059524,             0.81274,             0.70641,             0.78406,             0.54756,            0.033089,            0.015907,            0.035908,           0.0068457,           0.0068457,           0.0068457
                 123,            0.031836,            0.023975,           0.0077923,               0.765,             0.77675,             0.81006,             0.59849,            0.032458,            0.015828,            0.027209,           0.0068006,           0.0068006,           0.0068006
                 124,            0.025718,            0.023027,           0.0059548,             0.78024,             0.80532,             0.82826,             0.61777,            0.033903,            0.015505,            0.027793,           0.0067555,           0.0067555,           0.0067555
                 125,            0.029227,            0.028407,           0.0062339,             0.78612,             0.73747,             0.79638,             0.57941,            0.033273,            0.015362,            0.032402,           0.0067101,           0.0067101,           0.0067101
                 126,            0.027001,            0.023594,           0.0090411,              0.8118,             0.75464,             0.80992,             0.61451,            0.032753,             0.01524,            0.034593,           0.0066647,           0.0066647,           0.0066647
                 127,            0.028333,            0.023558,           0.0056683,             0.78508,             0.76193,             0.80691,             0.58633,            0.032441,            0.014635,            0.033796,           0.0066191,           0.0066191,           0.0066191
                 128,            0.024499,            0.021409,            0.006005,             0.76408,             0.79975,             0.82549,             0.60638,            0.032838,            0.014817,            0.029744,           0.0065734,           0.0065734,           0.0065734
                 129,            0.024305,            0.021457,           0.0065555,             0.77471,             0.81703,             0.83966,             0.64453,            0.033045,             0.01509,            0.023719,           0.0065276,           0.0065276,           0.0065276
                 130,            0.027112,            0.022389,           0.0067132,             0.82603,             0.79302,             0.85663,             0.63537,            0.034487,            0.015471,            0.019829,           0.0064816,           0.0064816,           0.0064816
                 131,            0.029992,            0.024408,           0.0059168,             0.78159,             0.84392,             0.86268,             0.62419,            0.036356,            0.016045,            0.017087,           0.0064356,           0.0064356,           0.0064356
                 132,            0.027041,            0.022771,           0.0074578,             0.87815,             0.72928,             0.85995,             0.64594,            0.033483,            0.015863,            0.017376,           0.0063895,           0.0063895,           0.0063895
                 133,            0.025641,             0.02048,           0.0078623,             0.89241,             0.82431,             0.89815,             0.68689,            0.031689,            0.015306,            0.015493,           0.0063432,           0.0063432,           0.0063432
                 134,            0.024886,            0.020518,            0.010248,             0.88331,             0.83806,             0.90095,             0.67692,            0.031599,            0.015131,            0.015197,           0.0062969,           0.0062969,           0.0062969
                 135,            0.027195,            0.021201,           0.0060469,             0.85592,             0.83997,             0.89043,             0.65851,            0.032991,            0.015129,            0.017797,           0.0062505,           0.0062505,           0.0062505
                 136,            0.024087,            0.020677,            0.006014,             0.87175,             0.83201,             0.86989,             0.65141,            0.031628,            0.014993,            0.019443,            0.006204,            0.006204,            0.006204
                 137,            0.024197,            0.020186,            0.006918,             0.89431,             0.77604,             0.86428,             0.67543,            0.030514,            0.015205,            0.019141,           0.0061574,           0.0061574,           0.0061574
                 138,            0.023738,             0.02233,           0.0049315,             0.86681,             0.76029,             0.86348,             0.66258,            0.031935,            0.015467,            0.019569,           0.0061107,           0.0061107,           0.0061107
                 139,            0.025177,            0.020849,           0.0045448,             0.83531,              0.7855,             0.82918,             0.63347,            0.031632,            0.015532,            0.023327,            0.006064,            0.006064,            0.006064
                 140,            0.023648,             0.02122,           0.0051719,             0.87922,             0.77152,             0.84632,              0.6409,            0.033194,            0.015376,            0.022012,           0.0060172,           0.0060172,           0.0060172
                 141,            0.025228,            0.021704,           0.0052727,             0.80505,             0.81158,             0.84033,             0.63782,             0.03095,            0.015284,            0.022488,           0.0059704,           0.0059704,           0.0059704
                 142,            0.023645,            0.021073,            0.004977,             0.87236,             0.77176,             0.83677,             0.63656,            0.032973,            0.015191,            0.022925,           0.0059235,           0.0059235,           0.0059235
                 143,            0.027554,            0.018741,           0.0048957,             0.86298,             0.82888,             0.85838,             0.63987,            0.032417,            0.015628,            0.021629,           0.0058766,           0.0058766,           0.0058766
                 144,            0.023125,            0.020968,           0.0052568,             0.84728,             0.82497,             0.84523,             0.63187,              0.0327,            0.015951,            0.020761,           0.0058296,           0.0058296,           0.0058296
                 145,            0.024776,            0.020524,           0.0056355,             0.84696,             0.81898,             0.84168,              0.6377,            0.031506,            0.015978,             0.02063,           0.0057826,           0.0057826,           0.0057826
